School Name,School Id,School Overview,Email,Website,Phone,Fax,Principal,Manager,Address
Rangeway Primary School,5388,"

Rangeway Primary School is located within the Mid-West Education District in the City of Geraldton. In 2017 Rangeway PS operated with 2 Kindergarten classes, 2 Pre-Primary classes and 16 Year 1 to 6 classes, with an enrolment of 404 at the start of the year.

The school's student population is comprised of 67% Indigenous students and 2% of Malay heritage, with the remaining a mix of other nationalities. Our student transiency rate sits at approximately 57%.

The Rangeway community is considered to be socio-economically disadvantaged as identified through an ICSEA of 729, which places it in the tenth decile of social disadvantage.

We have a 'Child and Parent Centre - Rangeway' located on site since 2015, supporting children 0 - 8 years old and families throughout the wider Geraldton community. We utilise many support programs and agencies through the centre including;
* Child Health Nurse,
* Allied Health Speech Therapy and Occupational Therapy,
* Home Interaction Program for Parents and Youngsters (HIPPY Program)
* Kindy Readiness and Orientation Programs
* Strong Self Strong Spirit resilience building program
* Triple P - Positive Parenting Program

The school promotes social development through the 'Zones of Regulation' program in Junior Primary and the 'Promoting Alternative Thinking Strategies' (PAThS) program used in middle and upper primary.

The school has established and maintained very strong interagency partnerships to support students at risk. We have both a School Chaplain and a School Psychologist on site to support students at risk. We also link with Desert Blue Connect and Helping Minds, amongst other agencies, to access support in the pastoral care/emotional well-being realm for our students.

The school prioritises:
* Literacy and Numeracy achievement - through a Tiered Response to Intervention to cater for all academic abilities. We have several tiered responses to support learning for all students, including Direct Instruction, Synthetic Phonics and a Dyslexia Support Program. We also provide an Extension Program in Years 3-6 to cater for our high achieving students. Specialist and Support staff are utilised in classrooms during Literacy/Numeracy Blocks to support student achievement.
* Early Childhood Education - Utilising the National Quality Standards and Early Years Framework we link with other agencies, including the Child and Parent Centre and Allied Health, to provide a wraparound service to support all developmental facets of Early Childhood Education.
* Aboriginal Education - Linking with community organisations wherever possible, like Bundiyarra Aboriginal Community Corporation, we continually strengthen our focus in Aboriginal education and achievement through the Aboriginal Cultural Standards framework. We are committed to closing the gap by having an early intervention support approach, building community partnerships where possible, strengthening home/school relationships, providing Wajarri as our Language Area, involvement in the YuMi Deadly Maths initiative, and utilising Aboriginal Islander Education Officers to provide shoulder to shoulder support for our students.
* Attendance and Well-Being - Our commitment to improve student attendance is evident through whole school rewards and initiatives, provision of emergency lunches and uniforms whenever required, appointment of an Attendance Officer within the school and a continual focus throughout the school to reinforce to both students and parents that Every Day Counts.
'Well-Being' incorporates student engagement, behaviour and social/emotional development. At RPS we encourage a hands-on, co-operative learning focus where all students are actively engaged in their learning while also building their social skills. Our Tiered approach to behaviour incorporates a whole school plan which caters for 85% of the school population, an individualised response with specific programs for another 10% and an intensive support plan with interagency involvement for the final 5%. This, combined with our Zones of Regulation and PAThS programs, provide the solid structures and expectations to allow all students to reach their educational potential.
In 2017 Rangeway PS initiated a Nurture Group programme to support identified Year 3-6 SAER students in regard to their academic and/or social/behavioural development. This program gave intensive support to students and incorporated interagency and community involvement, whilst maintaining a strong focus on social/emotional development.

These priorities, combined with high quality teaching and leadership, encourage and facilitate students to achieve their potential and realise our vision at Rangeway PS of;

'Providing a quality education in a caring and supportive learning environment, enabling all students to become life-long learners who contribute positively to society.'




",Rangeway.PS@education.wa.edu.au,,08 9968 1700,08 9921 7542,Dean Vose,Narelle Cocking,"4 Cassia Street
Rangeway WA
6530"
Rapids Landing Primary School,5852,"



Founded in 2018, Rapids Landing Primary School is an innovative Independent Public School for children in kindergarten to Year 6.

Our school focuses on challenging, invigorating and extending young minds. Our core purpose is to achieve excellence in all facets of your child's intellectual, physical and social development. We inspire them to be motivated and engaged learners who will successfully adapt in an ever-changing world. Your child will thrive in an exciting and innovative learning setting where they'll reach their full potential.

Our passionate and experienced staff provide rich and diverse learning experiences that meet the needs and interests of every child. We cater for the unique needs and aspirations of local families and provide exceptional service to our proud and cohesive community as we create excellence together. We trust one another, which gives us the confidence to challenge ourselves, our community and our children to build a school culture that ensures your child has the opportunity to be the best they can be.

We have been given a unique opportunity to build a new school with a new vision and ethos that reflects Margaret River, our community, and most importantly the needs of our children. We have worked closely with our local community to develop a direction for our new school to ensure it reflects the aspirations, uniqueness and diversity of our students and school community.

Set in a beautiful environment, we provide students, staff and families with some of the best facilities and resources on offer by any primary school in Western Australia. The school has state of the art facilities and resources to cater for modern teaching and learning. Classrooms have stylish, modern furniture that fosters the cooperative nature of today's learning environments.

To find out more about our school, visit our website http://www.rapidslandingps.wa.edu.au/, follow us on Facebook or get in touch with us:
T: 9757 8200
E: RapidsLanding.PS@education.wa.edu.au
",RapidsLanding.PS@education.wa.edu.au,http://www.rapidslandingps.wa.edu.au/,08 9757 8200,,Lisa Helenius,Chelsea Yates,"42 Tonkin Boulevard
Margaret River WA
6285"
Ravensthorpe District High School,4098,"



Ravensthorpe District High School was established in 1901 and has strong partnerships with the local community. We offer students from Kindergarten to Year 10 all that you would expect in a larger metropolitan school, yet has that unique, friendly atmosphere typical of a small rural community.
Our vision is to empower students to achieve their full potential through a positive, supportive and engaging environment that is connected to life experiences and challenges. At Ravensthorpe District High School, we value our three core positive behaviour expectations of care, ambition and respect and communicate high expectations of our teaching support and office staff and of all students.
We currently have 127 students enrolled in total and supporting them to be successful is our core business. We offer a comprehensive curriculum with an emphasis on using meaningful learning strategies to engage our students. Provision of innovative technologies is prioritised with all secondary students having access to one-to-one technology, in the form of notebook computers. On a daily basis, all primary students have daily access to a class set of netbooks and iPads. Electronic boards are located in every primary classroom, including the secondary English classroom; interactive smart boards are utilised in all other classrooms.
The school values its strong partnerships with parents and the wider community and has an extremely active and supportive Parents and Citizens Association, school council and positive behaviour in school's team.
Our staff are confident, committed and highly dedicated to the provision of the best possible learning opportunities for students. The staff range from experienced to graduate and are committed to our team ethos of 'together everyone achieves more'. This blend of staff provides a sense of vitality and a desire to willingly embrace change processes for the development of more effective learning programs for all students, regardless of ability or style of learning.
Primary students are provided with the opportunity to participate in three specialist subjects, in addition to the core learning areas of English, maths, science, technology and humanities and social sciences. These specialist subjects are art, health and physical education, drama and dance. Students in Years 3 to Year 6 learn Indonesian as their language.
All secondary year levels have an allocated form teacher. Our secondary students participate in mandated core subjects: English, maths, science, technology, humanities and social sciences, and health and physical education. They can participate in extra-curricular opportunities including: photography, visual art, food preparation, woodwork and dance. The Year 7/8 students all participate in the SES Cadets unit. Students in secondary study pathways and the Year 9/10 students are supported by the Students Services/Careers coordinator.
Year 10 students are provided with a diverse range of opportunities to engage in workplace learning. Valuable partnerships have been fostered with local businesses in both the Hopetoun and Ravensthorpe communities. Students will have access to farming, mining, trades and office immersion for a part of their timetabled curriculum. Workplace learning provides students with practical experience and supports preparation for possible Vocational Education and Training (VET) course in Year 11 and future traineeships and apprenticeships.
The school has excellent facilities including an air-conditioned assembly hall, heated outdoor swimming pool, specialist technology and enterprise rooms, science and home economics facilities, an undercover pavilion and a dedicated art room. The school is technologically advanced, with wireless connection available across the school and data points for desktops.
Building community confidence is a significant component of being a recognised and respected educational institution, and we sincerely appreciate the tremendous parental support. We encourage parents and wider community members to visit our school and feel welcome. Parents and guardians are the first and most important educator in our students' lives. We value the positive relationships and partnerships we have fostered within our school community and actively plan opportunities to strengthen these connections.
Students are assured of an engaging, educationally sound experience at our school. For more information, please visit our website: www.ravensthorpedhs.wa.edu.au


",Ravensthorpe.DHS@education.wa.edu.au,,08 9852 3000,08 9838 1032,Fiona Philson,Denise Wolfenden,"Morgans Street
Ravensthorpe WA
6346"
Rawlinson Primary School,5754,"

Welcome to Rawlinson Primary School.

We are a vibrant school catering for students from Kindergarten to Year 6 in Marangaroo. Since opening we have developed a tradition of providing students with a caring, inclusive learning environment. Each and every staff member at our school supports our students socially and academically, with an emphasis on building a strong connection with family and community. Our staff focus on best possible teaching practices, using the Western Australian Curriculum and regularly undertaking professional learning in order to constantly maintain a high standard.

We have a multicultural and diverse school community, with 46 separate nationalities, all of who are actively celebrated throughout our school. We offer specialist programs in music, information and communication technology, Indonesian, and physical education. We also provide a kitchen garden which our students utilise for a variety of lessons - not just enjoying the yummy produce!

Our highly professional, innovative and dedicated staff ensure that your child's needs are met in a caring and safe environment. We have a strong emphasis on community participation, celebrating our students' achievements both in and out of school. We are also a Sustainable and Water Wise accredited school. We are all proud to be part of the Rawlinson School Life Long Learning community.

We have a strong link with our community which is driven by our dedicated Parents and Citizens' committee, which was active prior to the school opening and supported by a well informed and energetic School Council. We have an accredited healthy canteen offering a culturally sensitive menu, which operates under the traffic light healthy eating system.

Your child will learn in modern and comfortable classrooms, surrounded by natural bushland that provides a gentle and calm setting for learning and play. Our school boasts two adventure playgrounds, a large sandpit and bike track for younger children and a large sports oval with a fitness track for our older children. Our Kindergarten and Pre-primary area is safely fenced off and also houses a butterfly garden, made by our students.

We encourage you to visit our school to find out what we can offer your child.

T: 9247 9000
E: Rawlinson.PS@education.wa.edu.au
W: rawlinsonps.wa.edu.au
",Rawlinson.PS@education.wa.edu.au,,08 9345 6500,08 9342 7208,Darryl Dedman,Glenys Salmon,"27 Rawlinson Drive
Marangaroo WA
6064"
Redcliffe Primary School,5392,"

Redcliffe Primary School has been part of the Redcliffe community for over 55 years. Our school prides itself on providing an inclusive education for 21st century students to become successful learners, confident and creative individuals, and active and informed citizens.
Teachers use PATHS (Promoting Alternative Thinking Strategies) to develop emotional literacy and problem solving skills. The lessons learned in class are reinforced when students are problem solving in learning and play situations. Our school has a community approach to supporting students. Staff members develop relationships with students across the school and work together to support them in becoming responsible learners.
Redcliffe Primary School is well resourced with up-to-date technology. Each classroom has an interactive whiteboard and students have access to a computer lab, notebooks, iPads, 3D printer, robotics and coding tools. Teachers use technology to help provide a 21st Century education, preparing students for their future.
Teaching students sustainable practices to help them learn to keep our world in a healthy state includes initiatives such as Waste Free Wednesday and worm farming.
Redcliffe Primary School continues to improve the school facilities by renovating older buildings and adding new facilities. The purpose built art room, undercover area and Performing Arts Centre provide space for students to learn, practice and present visual arts, performing arts and sports.
Outdoor learning facilities include a large oval with cricket pitch, soccer and AFL goals, multi-purpose sports courts. Students enjoy participating in physical education and sports programs including many interschool competitions in athletics and cricket.
Redcliffe Primary School is working towards a National Quality Standard Early Years program taught in natural surroundings with indoor and outdoor learning opportunities.
Staff work in partnership with parents to help children manage the home/school transition and develop life-long skills to participate in the wider community. As well as working closely in conjunction with our parent group we have many established community partnerships. The strength of these partnerships has been recognised with State and National Awards. One such close working relationship is with a local childcare provider which has proved mutually beneficial in the development of professional relationships between our educators and the Long Day Care staff. This relationship ensures continuity and cohesion for children and their families across education and care settings.
You are welcome to visit Redcliffe Primary School for a guided tour of our facilities and discussion about what our school has to offer your child.
T: 9277 2569
E: redcliffe.ps@det.wa.edu.au
W: redcliffeps.wa.edu.au

",Redcliffe.PS@education.wa.edu.au,http://www.redcliffeps.wa.edu.au,08 6218 2600,,Mark Hendon,Lyn Clark,"62 Kanowna Avenue
Redcliffe WA
6104"
Richmond Primary School,5394,"

Friendly, caring, inclusive, welcoming, nurturing, supportive and fun. These are just some of the words that our families and students use to describe Richmond Primary School, where our vision is for every child to be their best. An Independent Public School in East Fremantle, we are proud of our rich heritage and strong traditions as we prepare to celebrate our 100th year in 2021. We cater for over 400 students from Kindergarten to Year 6 who pursue knowledge and achievement of their potential.

At Richmond Primary School, our strong pastoral care program, excellent sporting record and solid academic performance encourage our students to pursue their very best. Our experienced and dedicated teaching staff maintain a challenging and engaging learning environment for your child, where our students maintain academic results above the state average.

Our specialist teachers in Visual Art, Music and Italian also provide rich opportunities for your child's development. Students can participate in our choir and chorale, as well as enjoy instrumental music programs in flute, brass, clarinet, violin and cello. We also have a strong tradition of sporting success at an interschool level. Your child has the opportunity to participate and compete in sports such as swimming, cross country, athletics, soccer, football and netball.

We provide the appropriate supports to ensure that all of our students reach their potential, regardless of their starting point. We foster in every child a sense of belonging, being and becoming. This means they belong to the community and feel valued, are self-aware, resilient and capable, and become the best version of themselves - academically, socially, physically and emotionally.

Our school is well supported by our active P&C Association. They organise frequent events that our community at large enjoy, such as movie nights, quiz nights, breakfasts, camps and guest speakers.

Get in touch to find out more about how your child will thrive at Richmond, or join us on one of our monthly school tours:

T: 9339 5055
E: Richmond.PS@education.wa.edu.au
",Richmond.PS@education.wa.edu.au,http://www.richmondps.wa.edu.au,08 9438 8700,08 9339 4097,Lisa Dentith,Elaine Van Den Elzen,"37 Windsor Road
East Fremantle WA
6158"
Ridge View Secondary College,4208,"

Ridge View Secondary College is a new and distinctive secondary school where academic aspiration and achievement are fostered and celebrated. Students of all interests and abilities will be guided towards their individual goals and encouraged to explore their potential. Quality education will be delivered, promoted and developed using best teaching practice, while providing students with a rich, diverse and comprehensive learning environment. Every student matters at Ridge View Secondary College!

In 2019, our school will open its doors to students in Year 7. Each year, our school will expand before catering for a full cohort of students from Years 7 to 12 in 2024. Being located in a rapidly growing area, we predict enrolments in excess of 1500 students at that time.

Our core school values will be explicitly communicated to students and staff, and will form the foundation for student wellbeing, pride and connection. Our aim is for all students to enjoy being at school and feeling they are part of a supportive community where good citizenship is a responsibility of all.

Students will be encouraged to take advantage of extracurricular opportunities while enhancing and broadening their learning, so they can develop character, leadership skills and school pride.

Responding to the changing world and giving students the best preparation to succeed are thought drivers and essential to student learning. Enriched learning opportunities in mathematics, science and information technologies will be a focus at the school.

Ridge View Secondary College is a first-class state-of-the-art school with the most modern facilities including digital technologies and business studies laboratories, a fitness centre with multipurpose courts and change rooms, food studios and a science area with 10 laboratories.

For more information and to enrol your child contact:

Principal: Laurie Longworth
E: RidgeView.SC@education.wa.edu.au
",RidgeView.SC@education.wa.edu.au,http://www.ridgeviewsc.wa.edu.au,08 9553 0700,,Lawrence Longworth,Tracey Hughes,"359 Sixty Eight Road
Baldivis WA
6171"
River Valley Primary School,5074,"


River Valley Primary School is located 20 kms north of Bunbury and caters for 70 students.
River Valley Primary School is proud to be an Independent Public School in 2015.
It has a purpose built Kindy/ Pre Primary centre in the main building. Our specialized team of early childhood teachers and education assistants provide innovative and engaging programs integrating the Early Years Learning Framework with the Western Australian Curriculum. The school has a strong focus on literacy and numeracy and early intervention and extension for identified students.
Our positive and challenging teaching programs allow all students to develop the necessary knowledge and skills to become confident independent learners. Multi aged grouping is a feature of the school allowing for extension and remediation for students. We offer a diverse range of subjects including music, visual arts, physical education and Indonesian which are taught by specialist teachers. River Valley students consistently earn entrance into Bunbury Senior High School and Australind Senior High School's academic and arts extension programs.
The Bluearth Program is embedded in our school and promotes cooperation and teamwork among students.
Staff and students participate in a 'Positive Behaviour Program'. Recognition is given to those who display Excellence, Responsibility, Respect and Care inside and outside the classroom.
Students are taught in modern classrooms. Pre primary and Kindy students have their own outdoor play area. Students have access to the community oval and tennis courts and basketball courts.
The school is fully air-conditioned, providing a pleasant learning environment all year round.
The school opened in 1999 as a result of the amalgamation of the former Roelands Primary School (est. 1903) and Burekup Primary School (est. 1913). The school has maintained its rural background and has a strong sense of community and community involvement. Set near the Ferguson Valley in a unique rural setting, on the South West Highway makes it a desirable location to live.
Students, staff and the community embrace the school ethos of 'Learning for Life Together'.
",RiverValley.PS@education.wa.edu.au,http://www.rivervalley.wa.edu.au,08 9726 3135,08 9726 3234,Vanessa Rodda,Marilee Hall,"51 Russell Road
Burekup WA
6227"
Rivergums Primary School,5843,"



Rivergums Primary School opened in 2016 and offers positive and challenging learning programs that encourage all students to develop the necessary knowledge, skills and values to become successful, confident and creative individuals.

The school is an Independent Public School for Kindergarten to Year 6 students. The community has helped shape the direction of the school and ensures that students' needs are a priority.

Rivergums Primary School has modern, state of the art facilities and is located next to Baldivis Secondary College, giving students access to a seamless transition into secondary school.

",Rivergums.PS@education.wa.edu.au,http://www.rivergumsps.wa.edu.au,08 9523 7500,,Josh Jashari,Amanda Sykes,"1 Avoca Chase
Baldivis WA
6171"
Riverside Education Support Centre,6094,"



Riverside Education Support Centre is a centre of excellence for the education and advancement of children with special learning difficulties. We take pride in the achievements of our students, the support and involvement of our community, and the teaching and care offered by our professional education team.

Every child is valued and has a place. Our shared campus with Riverside Primary School provides a de-segregated learning environment and helps us ensure each child achieves the best possible success in their learning journey.

We accept children from Kindergarten through to Year 6. We have a comprehensive transition program ensuring your child successfully integrates to secondary school. Integration opportunities include some curriculum areas, assemblies, swimming lessons, incursions, graduation ceremonies, reward days, athletic carnivals, whole class collaboration and student-matched (one-on-one) activities.

Our dedicated teachers and education support personnel works with you and your child to ensure you both feel supported, encouraged and valued. Our classrooms are generously staffed to maximise student outcomes.

You are encouraged to become familiar with your child's education by attending individualised education program meetings, parent networking events, learning journey, celebration days and assemblies.

Our educational programs focus on the educational needs of each child. Our functional and life skills approaches are applied to real life situations and taught in a way that connects directly with your child's experience. A central emphasis is our protective behaviours program where every child is taught that 'We all have the right to feel safe all of the time' and 'We can talk with someone about anything, no matter what it is'.

Like all children, so much learning occurs through active engagement regardless of ability. Some of the activities undertaken by our students include horse riding and cooking lessons, as well as excursions and incursions including the school camp and beach carnival.

Our science, technology, engineering and mathematics (STEM) program offers facilitated experiential learning experiences. Your child will learn to safely engage with interactive technologies, at the same time developing confidence with decision-making, communication and fine motor skills.

Our school and students are supported by a number of agencies, including Child Protection and Family Services and Disability Services Commission. The School Age Therapy Services provide an occupational therapist, physiotherapist and speech therapist. Our school psychologist and school nurse is also available. The School Special for Educational Needs supplies a teaching service that supports staff and provides essential equipment.

We encourage you to visit our website for community resources promoting student well-being, and to facilitate information sharing and communication.

T: 9534 0328
E: Riverside.ESC@education.wa.edu.au
W: riversideesc.wa.edu.au
",Riverside.ESC@education.wa.edu.au,,08 9534 0328,,James Douglas,Janet Marter,"1 Minilya Parkway
Greenfields WA
6210"
Riverside Primary School,5737,"

Riverside Primary School is a Level 5 school with approximately 480 students enrolled in Kindergarten to Year 6. Riverside draws from a wide boundary catchment area. Families of Riverside are from diverse social and economic backgrounds. This makes Riverside unique in that it is catering for most spectrums of society. There is also a high rate of transiency. Both of these factors create their own set of challenges to work through at the school.

The school became an Independent Public School in 2013 which has allowed the school to select its own staff This has had a very positive affect. The school Board is developing and is becoming more efficient each year.

The Riverside Education Support Centre is on site and has classrooms scattered throughout the school. Their students use all the primary school facilities and integrate with the school in some of its programs. Both schools have a joint P & C and School Board.

Parent involvement in the school is encouraged, with a strong emphasis on the P & C Association. The P&C contributes on average $10000 - $15000 to the school's resource base annually, and manages the operations of the canteen and uniform shop. The P & C has donated outdoor equipment across all grades.

Riverside Primary School is committed to providing students with a holistic education that enables them to reach their potential academically, physically, socially and emotionally. It recognizes the roles that students, staff and the whole community have in providing opportunities for students to be empowered to embrace the future.

The focus of teaching, learning and assessment will be in the areas of English, Mathematics and Science through implementation of the new Australian Curriculum.

The library is a focus for resources in the school and all children participate in a program that includes explicit teaching of library skills in research and borrowing skills.

The school has a strong pastoral care program. There are many programs in place to assist students to feel supported at school. The 'Rec Room' is a place students can go during Recess and Lunch time. There is also a variety of clubs that students can access during Lunch times.
We are very fortunate to have a .6FTE Chaplain who is involved in running the BUZZ and Rainbow programs with identified students.

The school purchases new computers annually to supplement the interactive whiteboards that are in every classroom. The focus has been to embed technology in the classroom and develop teacher experience with the technology.Each class is rostered to have at least one weekly session in the computer lab.

Students enjoy learning in modern facilities and have access to a wide array of playground equipment. All classrooms are airconditioned and well resourced.

Discover more about Riverside Primary School on our website https://riversideps.wa.edu.au
",Riverside.PS@education.wa.edu.au,,08 9534 0300,,Peter Dunning,Georgina Callaghan,"1 Minilya Parkway
Greenfields WA
6210"
Riverton Education Support Centre,6160,"

Riverton is an attractive residential suburb 21 kms from Perth City and 15 kms from Fremantle. It is on the eastern boundary of Fremantle / Peel Education District.

Riverton Education Support Centre was established on the Riverton Primary School site in 2003. The Centre has its own Principal, Teachers, Education Assistants and Registrar. The centre share the facilities with Riverton Primary School. The Centre currently has 20 students enroled. These students range in age from 6 to 12 years old. Students with intellectual disabilities ranging from mild to severe may enrol at the centre. Students that fall within the Autism Spectrum Disorder, require a high level of support and given permission by the District Office may also enrol at the centre.

Currently we cater for the students in three classes with specialist staff delivering quality programs over the eight learning areas. Each student has an Individual Education Plan developed in collaboration with the students' parents, school psychologist, Learning Support Coordinator, speech pathogist and other para-medical staff is so required. Each class typically has a Teacher and two Education Assistants. The level of staffing in the classrooms is dependent upon students' individual needs.

Our staffing allocation is reviewed annually and is dependent on the nature and severity of students' disabilities. Students have access to speech therapy, occupational therapy and physiotherapy provided by Therapy Focus. We currently contract a speech pathologist who assists us in providing appropriate communication strategies for our students.

Locally the school site is referred to as Riverton Primary Campus to reflect the dual nature of the site and the consequent wide range of programs and facilities offered. We believe we offer the 'best of both worlds' to students with disabilities. While they are taught individualised functional academics in small groups, they integrate with their peers for music, phys ed. sport, excursions and assemblies. The junior class teacher works colloaboratively with the year 1 teacher in a variety of subjects, including Big Book reading, art, news and drama. The students in the middle and senior classes (4-7) use the community as an extension of their classroom - learning real life skills such as transport training, shopping, showering, dressing and cooking. Individual students in the middle and senior class access the mainstream for art, music and physical education. They also share the same play areas at recess and lunch. Students with Special Needs usually require support in the development of their social skills. These skills they practice with their peers at break times.Our programs emphasise life skills while developing independent work habits.


Our School Vision - To ensure that our students develop the knowledge, skills and attitudes relevant to individual needs, thereby enabling them to fulfill their potential and contribute to the development of our society.




",Riverton.ESC@education.wa.edu.au,,08 9237 2777,,Vicki Sturgeon,Kerrie Mott,"255 Corinthian Road East
Riverton WA
6148"
Riverton Primary School,5395,"

Riverton Primary School, an Independent Public School catering for students from Kindergarten to Year 6. We are an inclusive community where students work collaboratively in a rich learning environment to achieve their academic, social and emotional potential. We have a strong focus on English, Mathematics and Science to ensure students are supported and equipped for their future learning and experience. Other learning areas include Music, Japanese, Art, STEM and Physical Education.

Riverton Primary School motto is 'Achieve Together'. We are located between High Road and Leach Highway in the residential suburb of Riverton and share our site with Riverton Education Support Centre. Collectively, our values of inclusion, collaboration, innovation, positivity and excellence provide many opportunities for students, staff and parents to explore inclusivity across our campus.

Our school facilities include five purpose built early childhood classrooms with adjacent play areas, mainstream classrooms, specialist music and science rooms, an enclosed undercover area for assemblies, playgrounds, basketball court, netball court and a large oval. All classrooms are equipped with interactive white boards and we use IPADS to enhance student learning opportunities. A feature of the school grounds is our sustainable garden which provides a stimulating learning area between the school buildings and our outdoor nature strip. Riverton Primary has a well-established and comprehensive program in physical activity and organised sport.

Our Kindy and Pre-Primary children enjoy their own learning area and playground, with an extensive outdoor area including cubbies, sandpits and outdoor equipment.

Approximately 70 per cent of student enrolment is from a non-English speaking background and there is a wide range of international representation in the school population. Location of birth for some of the students include; China, Singapore, Malaysia, India, Sri Lanka, Korea, Iran and Iraq.

We value the Mental Health and Wellbeing of all staff and consistently aim to create and engage a positive and supportive team. Our students have access to a Pastoral Care System providing support for students in all aspects of their schooling. The Leadership Team, Chaplain, Psychologist and Teachers are available to assist all students and their families.

The School Board is a joint council with the Education Support Centre and has representation from both the Primary School and Education Support Centre. Our School Board's perspective and experience enhance the strategic development of the school.

The Parents and Citizens (P&C) Association is active and supportive, again with representation from both schools on the site. Our P&C provide the school with resources that enhance our learning programs and improve our school environment.


",Riverton.PS@education.wa.edu.au,,08 9237 2750,08 9354 3217,Paul Grundy,Dale Hudson,"255 Corinthian Road East
Riverton WA
6148"
Rivervale Primary School,5439,"

At Rivervale Primary School we place great emphasis on the academic, social and emotional well-being of your child. Many of our programs are focused on teaching your child the skills to become a caring and productive member of the community.

Our staff are vibrant, enthusiastic and highly motivated. As a result, we have a number of programs that focus on developing critical literacy skills, numeracy skills and self-worth.

Our students feel a great sense of ownership and pride in our school. Our 'Play Plan' is an exciting and new initiative designed to link the classroom and outside environment. It is linked directly to our whole school values plan, and evaluation of children's attitude, behaviour and effort.

We have a strong focus on science, technology and enterprise, the arts, and targeted and early intervention.

Rivervale Primary School is a multi-cultural school with a reputation for being very inclusive. We have nine, mainly composite classes including an on-site Pre-primary and Kindergarten.

We are focused on positive outcomes for our students. Being a 'boutique school' has allowed us to build strong relationships between students, staff, parents and the wider community.

We welcome your enrolment enquiry and encourage you to discover more about our school by viewing our website at rivervaleps.wa.edu.au or coming in for a guided tour.
",Rivervale.PS@education.wa.edu.au,,08 6216 1850,,Mark Burns,Brenna Hodge,"99 Acton Avenue
Rivervale WA
6103"
Rockingham Beach Education Support Centre,6060,"



Rockingham Education Support Centre was established in 1987 sharing a site with the Rockingham Beach Primary School. The schools are located behind Palm Beach Jetty in Cockburn Sound and adjacent to Lake Richmond, renowned for its ancient stromatolites. This situation provides ideal an environment for students to enhance their classroom activities through participation in maritime events and environmental studies.

Students are drawn from the surrounding areas of Bungaree, Cooloongup, Hillman, Rockingham, Safety Bay and Waikiki. A free bus service is available for children attending the school. Students who enrol from outside these areas are transported to school by their parents. The Centre provides highly individualized programs for students with identified disabilities. These programs are prepared by our highly experienced specialist teachers following consultation with parents, psychologist, speech, physiological and occupational therapists and reviewed on a regular basis.

With our highly qualified specialist teachers and education assistants the level of support for students is very high and ensures the best outcomes for all students.

Presently the centre caters for 50 students. In addition to intensive literacy and numeracy programs; the centre provides excellent social/emotional skills, protective behaviours and pastoral care programs for our students. The curriculum programs are supported with regular excursions and a school camp organized for students on a yearly basis. In the area of physical education students are able to access Riding for the Disabled horse riding lessons and specialist swimming lessons in addition to their usual programs. Special events include inter education support centre swimming and cricket carnivals with faction athletics and beach carnivals. Opportunities for further competition in inter school team sports and athletic carnivals are available through the primary school for those students who excel in these areas.

All teaching areas are fully air conditioned with wet areas located in five classrooms. The centre has a life skills room with a fully equipped kitchen and laundry facilities. Greater emphasis is placed on the use of information technology as an integral part of the teaching and learning process. All classrooms are equipped with computers connected to the school network enabling fast access to the internet and email and interactive whiteboards. All students have an individualised iPad.

The school is a Teacher Development school delivering Positive Partnerships professional learning across the state.

Excellent relationships exist between parents and staff with the School Council playing an important role in ensuring the school meets the expectations of the community. The P&C is also active within the school with the play equipment in the junior area recently upgraded courtesy of their fundraising efforts.

",RockinghamBeach.ESC@education.wa.edu.au,http://www.rockinghambeachschools.wa.edu.au,08 9591 6777,08 9592 8097,Margaret Keen,Melanie Montgomery,"30 Bay View Street
Rockingham WA
6168"
